,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
0,-6054070973279583175,298.15,101.325,Liquid,1,CCCCN(CCCC)CCCC,Solvent,1.0,,,,,,0.7733000000000001,0.0004,,,10.1021/je030147g
1,2505665590694738123,298.15,101.325,Liquid,1,NCCN,Solvent,1.0,,,,,,0.8953230000000002,0.0020005,,,10.1016/j.fluid.2016.08.014
2,6919918690996967417,298.15,101.325,Liquid,1,CCCCCCCCN(CCCCCCCC)CCCCCCCC,Solvent,1.0,,,,,,0.8074600000000002,0.001805,,,10.1021/je900586f
3,-8259612451377294682,298.15,101.325,Liquid,1,CCCCCN(CCCCC)CCCCC,Solvent,1.0,,,,,,0.7864100000000002,0.000815,,,10.1016/j.jct.2012.07.012
4,-5358985313542210980,298.15,101.325,Liquid,1,CCCCCCN(CCCCCC)CCCCCC,Solvent,1.0,,,,,,0.7962200000000003,0.001445,,,10.1016/j.jct.2012.07.012
5,-3868280789000847665,298.15,101.3,Liquid,1,CNCCCN,Solvent,1.0,,,,,,0.8480000000000002,0.0025,,,10.1021/acs.jced.6b01038
6,-4966924331480223766,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,,,,,,0.9455480000000004,4.950000000000002e-05,,,10.1016/j.tca.2011.06.003
7,-6510436440521340330,303.15,101.0,Liquid,1,CN(C)CCCN(C)C,Solvent,1.0,,,,,,0.7748000000000002,0.00055,,,10.1016/j.fluid.2013.11.028
8,-6219986370133359915,298.15,101.325,Liquid,1,OCCN1CCOCC1,Solvent,1.0,,,,,,1.0713,0.00047,,,10.1016/j.jct.2007.11.010
9,3652677319970296490,298.15,101.325,Liquid,1,CN(C)CCCN,Solvent,1.0,,,,,,0.8127840000000002,0.0004205,,,10.1021/acs.jced.7b00042
10,5258602791449984258,293.15,100.0,Liquid,1,CCCCCN,Solvent,1.0,,,,,,0.7541000000000002,0.0002,,,10.1016/j.jct.2008.01.006
11,-6481091629859104906,293.15,100.0,Liquid,1,CCCCCCCN,Solvent,1.0,,,,,,0.7749000000000001,0.0002,,,10.1016/j.jct.2008.01.006
12,6622298596764014095,313.15,101.3,Liquid,1,NCCCCCCN,Solvent,1.0,,,,,,0.8562000000000003,0.001,,,10.1016/j.fluid.2017.01.020
13,2714467235048229534,298.15,101.325,Liquid,1,NCCCN,Solvent,1.0,,,,,,0.8798100000000002,5.5000000000000016e-05,,,10.1016/j.tca.2006.08.006
14,-7516547689202761208,298.15,101.325,Liquid,1,CCCCNCCCC,Solvent,1.0,,,,,,0.7577840000000001,0.0010295,,,10.1021/je800026p
15,5550609920093156861,298.15,101.325,Liquid,1,C[C@@H](N)c1ccccc1,Solvent,1.0,,,,,,0.9653800000000002,8.000000000000002e-05,,,10.1016/j.jct.2005.10.019
16,8080507131392101600,298.15,101.0,Liquid,1,CN(CCO)CCO,Solvent,1.0,,,,,,1.0364200000000003,0.004165,,,10.1016/j.jct.2018.12.014
17,-4872565387895859872,298.15,101.325,Liquid,1,CCCNCCC,Solvent,1.0,,,,,,0.7336180000000002,0.0008875,,,10.1021/acs.jced.5b00802
18,-333740753996387501,298.15,101.325,Liquid,1,CCN(CC)CCCN,Solvent,1.0,,,,,,0.8213630000000003,0.0001525,,,10.1016/j.jct.2010.01.016
